38.561521,27.992163
38.549334,28.016660
38.532353,28.080159
38.571609,28.067341
38.582558,28.056489
38.582017,28.071868
38.588984,28.093362
38.595184,28.104295
38.573836,27.965361
38.555136,27.941624
38.536805,28.051912
38.538755,28.059058
38.543468,28.084145
38.553136,28.086673
38.598623,28.083965
38.605083,28.088435
38.565589,27.901260
38.540350,27.970943
38.538865,27.983844
38.532434,27.994666
38.549221,27.994802
38.484055,27.904638
38.556330,27.957177
38.587814,27.961997
38.584441,28.014829
38.557707,28.010359
38.519544,28.023445
38.495423,28.021821
38.572669,28.065331
38.588934,28.091431
38.616855,28.112158
38.574893,28.063530
38.576471,27.908989
38.573752,27.913081
38.538971,27.991937
38.544840,27.995867
38.551660,27.995106
38.566309,28.000365
38.563352,28.001133
38.553774,28.029368
38.570799,28.035784
38.530072,28.048271
38.558967,27.861792
38.565156,27.876365
38.541145,27.907292
38.565221,27.914898
38.571744,27.915164
38.573777,28.136308
38.539112,28.128737
38.509731,28.125408
38.487430,28.083671
38.496405,28.051813
38.532725,28.008421
38.518418,27.992586
38.560292,27.982835
38.578472,27.994757
38.573407,28.047312
38.604608,28.098211
38.595341,28.098987
38.598279,28.107927
38.519540,28.160220
38.614729,27.864018
38.548691,27.866038
38.530322,27.851890
38.521173,27.888489
