38.570885,27.870845
38.600612,27.876519
38.611652,27.920274
38.581399,27.933596
38.557337,27.954837
38.582542,28.007288
38.610523,28.016681
38.614912,28.071964
38.558731,28.103548
38.530884,28.140477
38.505361,28.107981
38.485337,28.129989
38.545658,27.866923
38.545559,27.873842
38.545001,27.968709
38.535590,27.977239
38.540457,27.983236
38.543180,27.989533
38.507972,28.138518
38.511390,28.149800
38.545700,28.026980
38.543695,27.988887
38.547578,28.011606
38.543991,28.015223
38.585790,28.090155
38.580327,28.121474
38.538314,28.082769
38.5461105,28.01544
38.547075,28.013870
38.574729,28.122285
38.580218,28.130629
38.584889,28.094301
38.485711,27.863184
38.520277,27.868304
38.540541,27.852372
